,variable,value
7795,HUC:14050006,Piceance-Yellow Hydrologic Unit
7796,HUC:14050007,Lower White Hydrologic Unit
7797,HUC:1406,Lower Green Hydrologic Unit
7798,HUC:140600,Lower Green Hydrologic Unit
7799,HUC:14060001,Lower Green-Diamond Hydrologic Unit
7800,HUC:14060002,Ashley-Brush Hydrologic Unit
7801,HUC:14060003,Duchesne Hydrologic Unit
7802,HUC:14060004,Strawberry Hydrologic Unit
7803,HUC:14060005,Lower Green-Desolation Canyon Hydrologic Unit
7804,HUC:14060006,Willow Hydrologic Unit
7805,HUC:14060007,Price Hydrologic Unit
7806,HUC:14060008,Lower Green Hydrologic Unit
7807,HUC:14060009,San Rafael Hydrologic Unit
7808,HUC:1407,Upper Colorado-Dirty Devil Hydrologic Unit
7809,HUC:140700,Upper Colorado-Dirty Devil Hydrologic Unit
7810,HUC:14070001,Upper Lake Powell Hydrologic Unit
7811,HUC:14070002,Muddy Hydrologic Unit
7812,HUC:14070003,Fremont Hydrologic Unit
7813,HUC:14070004,Dirty Devil Hydrologic Unit
7814,HUC:14070005,Escalante Hydrologic Unit
7815,HUC:14070006,Lower Lake Powell Hydrologic Unit
7816,HUC:14070007,Paria Hydrologic Unit
7817,HUC:1408,San Juan Hydrologic Unit
7818,HUC:140801,Upper San Juan Hydrologic Unit
7819,HUC:14080101,Upper San Juan Hydrologic Unit
7820,HUC:14080102,Piedra Hydrologic Unit
7821,HUC:14080103,Blanco Canyon Hydrologic Unit
7822,HUC:14080104,Animas Hydrologic Unit
7823,HUC:14080105,Middle San Juan Hydrologic Unit
7824,HUC:14080106,Chaco Hydrologic Unit
7825,HUC:14080107,Mancos Hydrologic Unit
7826,HUC:140802,Lower San Juan Hydrologic Unit
7827,HUC:14080201,Lower San Juan-Four Corners Hydrologic Unit
7828,HUC:14080202,Mcelmo Hydrologic Unit
7829,HUC:14080203,Montezuma Hydrologic Unit
7830,HUC:14080204,Chinle Hydrologic Unit
7831,HUC:14080205,Lower San Juan Hydrologic Unit
7832,HUC:15,Lower Colorado Hydrologic Unit
7833,HUC:1501,Lower Colorado-Lake Mead Hydrologic Unit
7834,HUC:150100,Lower Colorado-Lake Mead Hydrologic Unit
7835,HUC:15010001,Lower Colorado-Marble Canyon Hydrologic Unit
7836,HUC:15010002,Grand Canyon Hydrologic Unit
7837,HUC:15010003,Kanab Hydrologic Unit
7838,HUC:15010004,Havasu Canyon Hydrologic Unit
7839,HUC:15010005,Lake Mead Hydrologic Unit
7840,HUC:15010006,Grand Wash Hydrologic Unit
7841,HUC:15010007,Hualapai Wash Hydrologic Unit
7842,HUC:15010008,Upper Virgin Hydrologic Unit
7843,HUC:15010009,Fort Pierce Wash Hydrologic Unit
7844,HUC:15010010,Lower Virgin Hydrologic Unit
7845,HUC:15010011,White Hydrologic Unit
7846,HUC:15010012,Muddy Hydrologic Unit
7847,HUC:15010013,Meadow Valley Wash Hydrologic Unit
7848,HUC:15010014,Detrital Wash Hydrologic Unit
7849,HUC:15010015,Las Vegas Wash Hydrologic Unit
7850,HUC:1502,Little Colorado Hydrologic Unit
7851,HUC:150200,Little Colorado Hydrologic Unit
7852,HUC:15020001,Little Colorado headwaters Hydrologic Unit
7853,HUC:15020002,Upper Little Colorado Hydrologic Unit
7854,HUC:15020003,Carrizo Wash Hydrologic Unit
7855,HUC:15020004,Zuni Hydrologic Unit
7856,HUC:15020005,Silver Hydrologic Unit
7857,HUC:15020006,Upper Puerco Hydrologic Unit
7858,HUC:15020007,Lower Puerco Hydrologic Unit
7859,HUC:15020008,Middle Little Colorado Hydrologic Unit
7860,HUC:15020009,Leroux Wash Hydrologic Unit
7861,HUC:15020010,Chevelon Canyon Hydrologic Unit
7862,HUC:15020011,Cottonwood Wash Hydrologic Unit
7863,HUC:15020012,Corn-Oraibi Hydrologic Unit
7864,HUC:15020013,Polacca Wash Hydrologic Unit
7865,HUC:15020014,Jadito Wash Hydrologic Unit
7866,HUC:15020015,Canyon Diablo Hydrologic Unit
7867,HUC:15020016,Lower Little Colorado Hydrologic Unit
7868,HUC:15020017,Dinnebito Wash Hydrologic Unit
7869,HUC:15020018,Moenkopi Wash Hydrologic Unit
7870,HUC:1503,Lower Colorado Hydrologic Unit
7871,HUC:150301,Lower Colorado Hydrologic Unit
7872,HUC:15030101,Havasu-Mohave Lakes Hydrologic Unit
7873,HUC:15030102,Piute Wash Hydrologic Unit
7874,HUC:15030103,Sacramento Wash Hydrologic Unit
7875,HUC:15030104,Imperial Reservoir Hydrologic Unit
7876,HUC:15030105,Bouse Wash Hydrologic Unit
7877,HUC:15030106,Tyson Wash Hydrologic Unit
7878,HUC:15030107,Lower Colorado Hydrologic Unit
7879,HUC:15030108,Yuma Desert Hydrologic Unit
7880,HUC:150302,Bill Williams Hydrologic Unit
7881,HUC:15030201,Big Sandy Hydrologic Unit
7882,HUC:15030202,Burro Hydrologic Unit
7883,HUC:15030203,Santa Maria Hydrologic Unit
7884,HUC:15030204,Bill Williams Hydrologic Unit
7885,HUC:1504,Upper Gila Hydrologic Unit
7886,HUC:150400,Upper Gila Hydrologic Unit
7887,HUC:15040001,Upper Gila Hydrologic Unit
7888,HUC:15040002,Upper Gila-Mangas Hydrologic Unit
7889,HUC:15040003,Animas Valley Hydrologic Unit
7890,HUC:15040004,San Francisco Hydrologic Unit
7891,HUC:15040005,Upper Gila-San Carlos Reservoir Hydrologic Unit
7892,HUC:15040006,San Simon Hydrologic Unit
7893,HUC:15040007,San Carlos Hydrologic Unit
7894,HUC:1505,Middle Gila Hydrologic Unit
7895,HUC:150501,Middle Gila Hydrologic Unit
7896,HUC:15050100,Middle Gila Hydrologic Unit
7897,HUC:150502,San Pedro-Willcox Hydrologic Unit
7898,HUC:15050201,Willcox Playa Hydrologic Unit
7899,HUC:15050202,Upper San Pedro Hydrologic Unit
7900,HUC:15050203,Lower San Pedro Hydrologic Unit
7901,HUC:150503,Santa Cruz Hydrologic Unit
7902,HUC:15050301,Upper Santa Cruz Hydrologic Unit
7903,HUC:15050302,Rillito Hydrologic Unit
7904,HUC:15050303,Lower Santa Cruz Hydrologic Unit
7905,HUC:15050304,Brawley Wash Hydrologic Unit
7906,HUC:15050305,Aguirre Valley Hydrologic Unit
7907,HUC:15050306,Santa Rosa Wash Hydrologic Unit
7908,HUC:1506,Salt Hydrologic Unit
7909,HUC:150601,Salt Hydrologic Unit
7910,HUC:15060101,Black Hydrologic Unit
7911,HUC:15060102,White Hydrologic Unit
7912,HUC:15060103,Upper Salt Hydrologic Unit
7913,HUC:15060104,Carrizo Hydrologic Unit
7914,HUC:15060105,Tonto Hydrologic Unit
7915,HUC:15060106,Lower Salt Hydrologic Unit
7916,HUC:150602,Verde Hydrologic Unit
7917,HUC:15060201,Big Chino-Williamson Valley Hydrologic Unit
7918,HUC:15060202,Upper Verde Hydrologic Unit
7919,HUC:15060203,Lower Verde Hydrologic Unit
7920,HUC:1507,Lower Gila Hydrologic Unit
7921,HUC:150701,Lower Gila-Agua Fria Hydrologic Unit
7922,HUC:15070101,Lower Gila-Painted Rock Reservoir Hydrologic Unit
7923,HUC:15070102,Agua Fria Hydrologic Unit
7924,HUC:15070103,Hassayampa Hydrologic Unit
7925,HUC:15070104,Centennial Wash Hydrologic Unit
7926,HUC:150702,Lower Gila Hydrologic Unit
7927,HUC:15070201,Lower Gila Hydrologic Unit
7928,HUC:15070202,Tenmile Wash Hydrologic Unit
7929,HUC:15070203,San Cristobal Wash Hydrologic Unit
7930,HUC:1508,Sonora Hydrologic Unit
7931,HUC:150801,Rio Sonoyta Hydrologic Unit
7932,HUC:15080101,San Simon Wash Hydrologic Unit
7933,HUC:15080102,Rio Sonoyta Hydrologic Unit
7934,HUC:15080103,Tule Desert Hydrologic Unit
7935,HUC:150802,Rio De La Concepcion Hydrologic Unit
7936,HUC:15080200,Rio De La Concepcion Hydrologic Unit
7937,HUC:150803,Rio De Bavispe Hydrologic Unit
7938,HUC:15080301,Whitewater Draw Hydrologic Unit
7939,HUC:15080302,San Bernardino Valley Hydrologic Unit
7940,HUC:15080303,Cloverdale Hydrologic Unit
7941,HUC:16,Great Basin Hydrologic Unit
7942,HUC:1601,Bear Hydrologic Unit
7943,HUC:160101,Upper Bear Hydrologic Unit
7944,HUC:16010101,Upper Bear Hydrologic Unit
7945,HUC:16010102,Central Bear Hydrologic Unit
7946,HUC:160102,Lower Bear Hydrologic Unit
7947,HUC:16010201,Bear Lake Hydrologic Unit
7948,HUC:16010202,Middle Bear Hydrologic Unit
7949,HUC:16010203,Little Bear-Logan Hydrologic Unit
7950,HUC:16010204,Lower Bear-Malad Hydrologic Unit
7951,HUC:1602,Great Salt Lake Hydrologic Unit
7952,HUC:160201,Weber Hydrologic Unit
7953,HUC:16020101,Upper Weber Hydrologic Unit
7954,HUC:16020102,Lower Weber Hydrologic Unit
7955,HUC:160202,Jordan Hydrologic Unit
7956,HUC:16020201,Utah Lake Hydrologic Unit
7957,HUC:16020202,Spanish Fork Hydrologic Unit
7958,HUC:16020203,Provo Hydrologic Unit
7959,HUC:16020204,Jordan Hydrologic Unit
7960,HUC:160203,Great Salt Lake Hydrologic Unit
7961,HUC:16020301,Hamlin-Snake Valleys Hydrologic Unit
7962,HUC:16020302,Pine Valley Hydrologic Unit
7963,HUC:16020303,Tule Valley Hydrologic Unit
7964,HUC:16020304,Rush-Tooele Valleys Hydrologic Unit
7965,HUC:16020305,Skull Valley Hydrologic Unit
7966,HUC:16020306,Southern Great Salt Lake Desert Hydrologic Unit
7967,HUC:16020307,Pilot-Thousand Springs Hydrologic Unit
7968,HUC:16020308,Northern Great Salt Lake Desert Hydrologic Unit
7969,HUC:16020309,Curlew Valley Hydrologic Unit
7970,HUC:16020310,Great Salt Lake Hydrologic Unit
7971,HUC:1603,Escalante Desert-Sevier Lake Hydrologic Unit
7972,HUC:160300,Escalante Desert-Sevier Lake Hydrologic Unit
7973,HUC:16030001,Upper Sevier Hydrologic Unit
7974,HUC:16030002,East Fork Sevier Hydrologic Unit
7975,HUC:16030003,Middle Sevier Hydrologic Unit
7976,HUC:16030004,San Pitch Hydrologic Unit
7977,HUC:16030005,Lower Sevier Hydrologic Unit
7978,HUC:16030006,Escalante Desert Hydrologic Unit
7979,HUC:16030007,Beaver Bottoms-Upper Beaver Hydrologic Unit
7980,HUC:16030008,Lower Beaver Hydrologic Unit
7981,HUC:16030009,Sevier Lake Hydrologic Unit
7982,HUC:1604,Black Rock Desert-Humboldt Hydrologic Unit
7983,HUC:160401,Humboldt Hydrologic Unit
7984,HUC:16040101,Upper Humboldt Hydrologic Unit
7985,HUC:16040102,North Fork Humboldt Hydrologic Unit
7986,HUC:16040103,South Fork Humboldt Hydrologic Unit
7987,HUC:16040104,Pine Hydrologic Unit
7988,HUC:16040105,Middle Humboldt Hydrologic Unit
7989,HUC:16040106,Rock Hydrologic Unit
7990,HUC:16040107,Reese Hydrologic Unit
7991,HUC:16040108,Lower Humboldt Hydrologic Unit
7992,HUC:16040109,Little Humboldt Hydrologic Unit
7993,HUC:160402,Black Rock Desert Hydrologic Unit
7994,HUC:16040201,Upper Quinn Hydrologic Unit
7995,HUC:16040202,Lower Quinn Hydrologic Unit
7996,HUC:16040203,Smoke Creek Desert Hydrologic Unit
7997,HUC:16040204,Massacre Lake Hydrologic Unit
7998,HUC:16040205,Thousand-Virgin Hydrologic Unit
7999,HUC:1605,Central Lahontan Hydrologic Unit
8000,HUC:160501,Truckee Hydrologic Unit
8001,HUC:16050101,Lake Tahoe Hydrologic Unit
8002,HUC:16050102,Truckee Hydrologic Unit
8003,HUC:16050103,Pyramid-Winnemucca Lakes Hydrologic Unit
8004,HUC:16050104,Granite Springs Valley Hydrologic Unit
8005,HUC:160502,Carson Hydrologic Unit
8006,HUC:16050201,Upper Carson Hydrologic Unit
8007,HUC:16050202,Middle Carson Hydrologic Unit
8008,HUC:16050203,Carson Desert Hydrologic Unit
8009,HUC:160503,Walker Hydrologic Unit
8010,HUC:16050301,East Walker Hydrologic Unit
8011,HUC:16050302,West Walker Hydrologic Unit
8012,HUC:16050303,Walker Hydrologic Unit
8013,HUC:16050304,Walker Lake Hydrologic Unit
8014,HUC:1606,Central Nevada Desert Basins Hydrologic Unit
8015,HUC:160600,Central Nevada Desert Basins Hydrologic Unit
8016,HUC:16060001,Dixie Valley Hydrologic Unit
8017,HUC:16060002,Gabbs Valley Hydrologic Unit
8018,HUC:16060003,Southern Big Smoky Valley Hydrologic Unit
8019,HUC:16060004,Northern Big Smoky Valley Hydrologic Unit
8020,HUC:16060005,Diamond-Monitor Valleys Hydrologic Unit
8021,HUC:16060006,Little Smoky-Newark Valleys Hydrologic Unit
8022,HUC:16060007,Long-Ruby Valleys Hydrologic Unit
8023,HUC:16060008,Spring-Steptoe Valleys Hydrologic Unit
8024,HUC:16060009,Dry Lake Valley Hydrologic Unit
8025,HUC:16060010,Fish Lake-Soda Spring Valleys Hydrologic Unit
8026,HUC:16060011,Ralston-Stone Cabin Valleys Hydrologic Unit
8027,HUC:16060012,Hot Creek-Railroad Valleys Hydrologic Unit
8028,HUC:16060013,Cactus-Sarcobatus Flats Hydrologic Unit
8029,HUC:16060014,Sand Spring-Tikaboo Valleys Hydrologic Unit
8030,HUC:16060015,Ivanpah-Pahrump Valleys Hydrologic Unit
8031,HUC:17,Pacific Northwest Hydrologic Unit
8032,HUC:1701,Kootenai-Pend Oreille-Spokane Hydrologic Unit
8033,HUC:170101,Kootenai Hydrologic Unit
8034,HUC:17010101,Upper Kootenai Hydrologic Unit
8035,HUC:17010102,Fisher Hydrologic Unit
8036,HUC:17010103,Yaak Hydrologic Unit
8037,HUC:17010104,Lower Kootenai Hydrologic Unit
8038,HUC:17010105,Moyie Hydrologic Unit
8039,HUC:170102,Pend Oreille Hydrologic Unit
8040,HUC:17010201,Upper Clark Fork Hydrologic Unit
8041,HUC:17010202,Flint-Rock Hydrologic Unit
8042,HUC:17010203,Blackfoot Hydrologic Unit
8043,HUC:17010204,Middle Clark Fork Hydrologic Unit
8044,HUC:17010205,Bitterroot Hydrologic Unit
8045,HUC:17010206,North Fork Flathead Hydrologic Unit
8046,HUC:17010207,Middle Fork Flathead Hydrologic Unit
8047,HUC:17010208,Flathead Lake Hydrologic Unit
8048,HUC:17010209,South Fork Flathead Hydrologic Unit
8049,HUC:17010210,Stillwater Hydrologic Unit
8050,HUC:17010211,Swan Hydrologic Unit
8051,HUC:17010212,Lower Flathead Hydrologic Unit
8052,HUC:17010213,Lower Clark Fork Hydrologic Unit
8053,HUC:17010214,Pend Oreille Lake Hydrologic Unit
8054,HUC:17010215,Priest Hydrologic Unit
8055,HUC:17010216,Pend Oreille Hydrologic Unit
8056,HUC:170103,Spokane Hydrologic Unit
8057,HUC:17010301,Upper Coeur D'alene Hydrologic Unit
8058,HUC:17010302,South Fork Coeur D'alene Hydrologic Unit
8059,HUC:17010303,Coeur D'alene Lake Hydrologic Unit
8060,HUC:17010304,St. Joe Hydrologic Unit
8061,HUC:17010305,Upper Spokane Hydrologic Unit
8062,HUC:17010306,Hangman Hydrologic Unit
8063,HUC:17010307,Lower Spokane Hydrologic Unit
8064,HUC:17010308,Little Spokane Hydrologic Unit
8065,HUC:1702,Upper Columbia Hydrologic Unit
8066,HUC:170200,Upper Columbia Hydrologic Unit
8067,HUC:17020001,Franklin D. Roosevelt Lake Hydrologic Unit
8068,HUC:17020002,Kettle Hydrologic Unit
8069,HUC:17020003,Colville Hydrologic Unit
8070,HUC:17020004,Sanpoil Hydrologic Unit
8071,HUC:17020005,Chief Joseph Hydrologic Unit
8072,HUC:17020006,Okanogan Hydrologic Unit
8073,HUC:17020007,Similkameen Hydrologic Unit
8074,HUC:17020008,Methow Hydrologic Unit
8075,HUC:17020009,Lake Chelan Hydrologic Unit
8076,HUC:17020010,Upper Columbia-Entiat Hydrologic Unit
8077,HUC:17020011,Wenatchee Hydrologic Unit
8078,HUC:17020012,Moses Coulee Hydrologic Unit
8079,HUC:17020013,Upper Crab Hydrologic Unit
8080,HUC:17020014,Banks Lake Hydrologic Unit
8081,HUC:17020015,Lower Crab Hydrologic Unit
8082,HUC:17020016,Upper Columbia-Priest Rapids Hydrologic Unit
8083,HUC:1703,Yakima Hydrologic Unit
8084,HUC:170300,Yakima Hydrologic Unit
8085,HUC:17030001,Upper Yakima Hydrologic Unit
8086,HUC:17030002,Naches Hydrologic Unit
8087,HUC:17030003,"Lower Yakima, Washington Hydrologic Unit"
8088,HUC:1704,Upper Snake Hydrologic Unit
8089,HUC:170401,Snake headwaters Hydrologic Unit
8090,HUC:17040101,Snake headwaters Hydrologic Unit
8091,HUC:17040102,Gros Ventre Hydrologic Unit
8092,HUC:17040103,Greys-Hobock Hydrologic Unit
8093,HUC:17040104,Palisades Hydrologic Unit
8094,HUC:17040105,Salt Hydrologic Unit
8095,HUC:170402,Upper Snake Hydrologic Unit
8096,HUC:17040201,Idaho Falls Hydrologic Unit
8097,HUC:17040202,Upper Henrys Hydrologic Unit
8098,HUC:17040203,Lower Henrys Hydrologic Unit
8099,HUC:17040204,Teton Hydrologic Unit
8100,HUC:17040205,Willow Hydrologic Unit
8101,HUC:17040206,American Falls Hydrologic Unit
8102,HUC:17040207,Blackfoot Hydrologic Unit
8103,HUC:17040208,Portneuf Hydrologic Unit
8104,HUC:17040209,Lake Walcott Hydrologic Unit
8105,HUC:17040210,Raft Hydrologic Unit
8106,HUC:17040211,Goose Hydrologic Unit
8107,HUC:17040212,Upper Snake-Rock Hydrologic Unit
8108,HUC:17040213,Salmon Falls Hydrologic Unit
8109,HUC:17040214,Beaver-Camas Hydrologic Unit
8110,HUC:17040215,Medicine Lodge Hydrologic Unit
8111,HUC:17040216,Birch Hydrologic Unit
8112,HUC:17040217,Little Lost Hydrologic Unit
8113,HUC:17040218,Big Lost Hydrologic Unit
8114,HUC:17040219,Big Wood Hydrologic Unit
8115,HUC:17040220,Camas Hydrologic Unit
8116,HUC:17040221,Little Wood Hydrologic Unit
8117,HUC:1705,Middle Snake Hydrologic Unit
8118,HUC:170501,Middle Snake-Boise Hydrologic Unit
8119,HUC:17050101,C. J. Idaho Hydrologic Unit
8120,HUC:17050102,Bruneau Hydrologic Unit
8121,HUC:17050103,Middle Snake-Succor Hydrologic Unit
8122,HUC:17050104,Upper Owyhee Hydrologic Unit
8123,HUC:17050105,South Fork Owyhee Hydrologic Unit
8124,HUC:17050106,"East Little Owyhee. Nevada, Hydrologic Unit"
8125,HUC:17050107,Middle Owyhee Hydrologic Unit
8126,HUC:17050108,Jordan Hydrologic Unit
8127,HUC:17050109,Crooked-Rattlesnake Hydrologic Unit
8128,HUC:17050110,Lower Owyhee Hydrologic Unit
8129,HUC:17050111,North and Middle Forks Boise Hydrologic Unit
8130,HUC:17050112,Boise-Mores Hydrologic Unit
8131,HUC:17050113,South Fork Boise Hydrologic Unit
8132,HUC:17050114,Lower Boise Hydrologic Unit
8133,HUC:17050115,Middle Snake-Payette Hydrologic Unit
8134,HUC:17050116,Upper Malheur Hydrologic Unit
8135,HUC:17050117,Lower Malheur Hydrologic Unit
8136,HUC:17050118,Bully Hydrologic Unit
8137,HUC:17050119,Willow Hydrologic Unit
8138,HUC:17050120,South Fork Payette Hydrologic Unit
8139,HUC:17050121,Middle Fork Payette Hydrologic Unit
8140,HUC:17050122,Payette Hydrologic Unit
8141,HUC:17050123,North Fork Payette Hydrologic Unit
8142,HUC:17050124,Weiser Hydrologic Unit
8143,HUC:170502,Middle Snake-Powder Hydrologic Unit
8144,HUC:17050201,Brownlee Reservoir Hydrologic Unit
8145,HUC:17050202,Burnt Hydrologic Unit
8146,HUC:17050203,Powder Hydrologic Unit
8147,HUC:1706,Lower Snake Hydrologic Unit
8148,HUC:170601,Lower Snake Hydrologic Unit
8149,HUC:17060101,Hells Canyon Hydrologic Unit
8150,HUC:17060102,Imnaha Hydrologic Unit
8151,HUC:17060103,Lower Snake-Asotin Hydrologic Unit
8152,HUC:17060104,Upper Grande Ronde Hydrologic Unit
8153,HUC:17060105,Wallowa Hydrologic Unit
8154,HUC:17060106,Lower Grande Ronde Hydrologic Unit
8155,HUC:17060107,Lower Snake-Tucannon Hydrologic Unit
8156,HUC:17060108,Palouse Hydrologic Unit
8157,HUC:17060109,Rock Hydrologic Unit
8158,HUC:17060110,Lower Snake Hydrologic Unit
8159,HUC:170602,Salmon Hydrologic Unit
8160,HUC:17060201,Upper Salmon Hydrologic Unit
8161,HUC:17060202,Pahsimeroi Hydrologic Unit
8162,HUC:17060203,Middle Salmon-Panther Hydrologic Unit
8163,HUC:17060204,Lemhi Hydrologic Unit
8164,HUC:17060205,Upper Middle Fork Salmon Hydrologic Unit
8165,HUC:17060206,Lower Middle Fork Salmon Hydrologic Unit
8166,HUC:17060207,Middle Salmon-Chamberlain Hydrologic Unit
8167,HUC:17060208,South Fork Salmon Hydrologic Unit
8168,HUC:17060209,Lower Salmon Hydrologic Unit
8169,HUC:17060210,Little Salmon Hydrologic Unit
8170,HUC:170603,Clearwater Hydrologic Unit
8171,HUC:17060301,Upper Selway Hydrologic Unit
8172,HUC:17060302,Lower Selway Hydrologic Unit
8173,HUC:17060303,Lochsa Hydrologic Unit
8174,HUC:17060304,Middle Fork Clearwater Hydrologic Unit
8175,HUC:17060305,South Fork Clearwater Hydrologic Unit
8176,HUC:17060306,Clearwater Hydrologic Unit
8177,HUC:17060307,Upper North Fork Clearwater Hydrologic Unit
8178,HUC:17060308,Lower North Fork Clearwater Hydrologic Unit
8179,HUC:1707,Middle Columbia Hydrologic Unit
8180,HUC:170701,Middle Columbia Hydrologic Unit
8181,HUC:17070101,Middle Columbia-Lake Wallula Hydrologic Unit
8182,HUC:17070102,Walla Walla Hydrologic Unit
8183,HUC:17070103,Umatilla Hydrologic Unit
8184,HUC:17070104,Willow Hydrologic Unit
8185,HUC:17070105,Middle Columbia-Hood Hydrologic Unit
8186,HUC:17070106,Klickitat Hydrologic Unit
8187,HUC:170702,John Day Hydrologic Unit
8188,HUC:17070201,Upper John Day Hydrologic Unit
8189,HUC:17070202,North Fork John Day Hydrologic Unit
8190,HUC:17070203,Middle Fork John Day Hydrologic Unit
8191,HUC:17070204,Lower John Day Hydrologic Unit
8192,HUC:170703,Deschutes Hydrologic Unit
8193,HUC:17070301,Upper Deschutes Hydrologic Unit
8194,HUC:17070302,Little Deschutes Hydrologic Unit
8195,HUC:17070303,Beaver-South Fork Hydrologic Unit
8196,HUC:17070304,Upper Crooked Hydrologic Unit
8197,HUC:17070305,Lower Crooked Hydrologic Unit
8198,HUC:17070306,Lower Deschutes Hydrologic Unit
8199,HUC:17070307,Trout Hydrologic Unit
8200,HUC:1708,Lower Columbia Hydrologic Unit
8201,HUC:170800,Lower Columbia Hydrologic Unit
8202,HUC:17080001,Lower Columbia-Sandy Hydrologic Unit
8203,HUC:17080002,Lewis Hydrologic Unit
8204,HUC:17080003,Lower Columbia-Clatskanie Hydrologic Unit
8205,HUC:17080004,Upper Cowlitz Hydrologic Unit
8206,HUC:17080005,Lower Cowlitz Hydrologic Unit
8207,HUC:17080006,Lower Columbia Hydrologic Unit
8208,HUC:1709,Willamette Hydrologic Unit
8209,HUC:170900,Willamette Hydrologic Unit
8210,HUC:17090001,Middle Fork Willamette Hydrologic Unit
8211,HUC:17090002,Coast Fork Willamette Hydrologic Unit
8212,HUC:17090003,Upper Willamette Hydrologic Unit
8213,HUC:17090004,Mckenzie Hydrologic Unit
8214,HUC:17090005,North Santiam Hydrologic Unit
8215,HUC:17090006,South Santiam Hydrologic Unit
8216,HUC:17090007,Middle Willamette Hydrologic Unit
8217,HUC:17090008,Yamhill Hydrologic Unit
8218,HUC:17090009,Molalla-Pudding Hydrologic Unit
8219,HUC:17090010,Tualatin Hydrologic Unit
8220,HUC:17090011,Clackamas Hydrologic Unit
8221,HUC:17090012,Lower Willamette Hydrologic Unit
8222,HUC:1710,Oregon-Washington Coastal Hydrologic Unit
8223,HUC:171001,Washington Coastal Hydrologic Unit
8224,HUC:17100101,Hoh-Quillayute Hydrologic Unit
8225,HUC:17100102,Queets-Quinault Hydrologic Unit
8226,HUC:17100103,Upper Chehalis Hydrologic Unit
8227,HUC:17100104,Lower Chehalis Hydrologic Unit
8228,HUC:17100105,Grays Harbor Hydrologic Unit
8229,HUC:17100106,Willapa Bay Hydrologic Unit
8230,HUC:171002,Northern Oregon Coastal Hydrologic Unit
8231,HUC:17100201,Necanicum Hydrologic Unit
8232,HUC:17100202,Nehalem Hydrologic Unit
8233,HUC:17100203,Wilson-Trusk-Nestuccu Hydrologic Unit
8234,HUC:17100204,Siletz-Yaquina Hydrologic Unit
8235,HUC:17100205,Alsea Hydrologic Unit
8236,HUC:17100206,Siuslaw Hydrologic Unit
8237,HUC:17100207,Siltcoos Hydrologic Unit
8238,HUC:171003,Southern Oregon Coastal Hydrologic Unit
8239,HUC:17100301,North Umpqua Hydrologic Unit
8240,HUC:17100302,South Umpqua Hydrologic Unit
8241,HUC:17100303,Umpqua Hydrologic Unit
8242,HUC:17100304,Coos Hydrologic Unit
8243,HUC:17100305,Coquille Hydrologic Unit
8244,HUC:17100306,Sixes Hydrologic Unit
8245,HUC:17100307,Upper Rogue Hydrologic Unit
8246,HUC:17100308,Middle Rogue Hydrologic Unit
8247,HUC:17100309,Applegate Hydrologic Unit
8248,HUC:17100310,Lower Rogue Hydrologic Unit
8249,HUC:17100311,Illinois Hydrologic Unit
8250,HUC:17100312,Chetco Hydrologic Unit
8251,HUC:1711,Puget Sound Hydrologic Unit
8252,HUC:171100,Puget Sound Hydrologic Unit
8253,HUC:17110001,Fraser Hydrologic Unit
8254,HUC:17110002,Strait of Georgia Hydrologic Unit
8255,HUC:17110003,San Juan Islands Hydrologic Unit
8256,HUC:17110004,Nooksack Hydrologic Unit
8257,HUC:17110005,Upper Skagit Hydrologic Unit
8258,HUC:17110006,Sauk Hydrologic Unit
8259,HUC:17110007,Lower Skagit Hydrologic Unit
8260,HUC:17110008,Stillaguamish Hydrologic Unit
8261,HUC:17110009,Skykomish Hydrologic Unit
8262,HUC:17110010,Snoqualmie Hydrologic Unit
8263,HUC:17110011,Snohomish Hydrologic Unit
8264,HUC:17110012,Lake Washington Hydrologic Unit
8265,HUC:17110013,Duwamish Hydrologic Unit
8266,HUC:17110014,Puyallup Hydrologic Unit
8267,HUC:17110015,Nisqually Hydrologic Unit
8268,HUC:17110016,Deschutes Hydrologic Unit
8269,HUC:17110017,Skokomish Hydrologic Unit
8270,HUC:17110018,Hood Canal Hydrologic Unit
8271,HUC:17110019,Puget Sound Hydrologic Unit
8272,HUC:17110020,Dungeness-Elwha Hydrologic Unit
8273,HUC:17110021,Crescent-Hoko Hydrologic Unit
8274,HUC:1712,Oregon closed basins Hydrologic Unit
8275,HUC:171200,Oregon closed basins Hydrologic Unit
8276,HUC:17120001,Harney-Malheur Lakes Hydrologic Unit
8277,HUC:17120002,Silvies Hydrologic Unit
8278,HUC:17120003,Donner Und Blitzen Hydrologic Unit
8279,HUC:17120004,Silver Hydrologic Unit
8280,HUC:17120005,Summer Lake Hydrologic Unit
8281,HUC:17120006,Lake Abert Hydrologic Unit
8282,HUC:17120007,Warner Lakes Hydrologic Unit
8283,HUC:17120008,Guano Hydrologic Unit
8284,HUC:17120009,Alvord Lake Hydrologic Unit
8285,HUC:18,California Hydrologic Unit
8286,HUC:1801,Klamath-Northern California Coastal Hydrologic Unit
8287,HUC:180101,Northern California Coastal Hydrologic Unit
8288,HUC:18010101,Smith Hydrologic Unit
8289,HUC:18010102,Mad-Redwood Hydrologic Unit
8290,HUC:18010103,Upper Eel Hydrologic Unit
8291,HUC:18010104,Middle Fork Eel Hydrologic Unit
8292,HUC:18010105,Lower Eel Hydrologic Unit
